region,target_end_date,strat,type,value,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,target_type
Germany,2020-12-24,,estimate,0.92,0.92,0.04,0.85,0.89,0.91,0.93,0.95,0.97,case
Germany,2020-12-25,,estimate,0.93,0.93,0.03,0.87,0.91,0.92,0.94,0.96,0.98,case
Germany,2020-12-26,,estimate,0.95,0.94,0.03,0.89,0.93,0.94,0.95,0.96,0.99,case
Germany,2020-12-27,,estimate,0.96,0.96,0.03,0.91,0.94,0.95,0.97,0.98,1.01,case
Germany,2020-12-28,,estimate,0.97,0.98,0.03,0.93,0.95,0.96,0.98,0.99,1.03,case
Germany,2020-12-29,,estimate,0.98,0.99,0.04,0.94,0.96,0.97,1,1.02,1.06,case
Germany,2020-12-30,,estimate,1,1,0.05,0.94,0.97,0.98,1.01,1.03,1.09,case
Germany,2020-12-31,,estimate,1.01,1.01,0.05,0.94,0.97,0.99,1.02,1.05,1.11,case
Germany,2021-01-01,,estimate,1.01,1.02,0.06,0.94,0.97,1,1.03,1.06,1.12,case
Germany,2021-01-02,,estimate,1.02,1.02,0.06,0.94,0.97,1,1.03,1.06,1.12,case
Germany,2021-01-03,,estimate,1.01,1.02,0.06,0.94,0.97,1,1.03,1.06,1.11,case
Germany,2021-01-04,,estimate,1.01,1.01,0.05,0.94,0.97,0.99,1.02,1.05,1.1,case
Germany,2021-01-05,,estimate,1,1,0.05,0.93,0.96,0.99,1.01,1.03,1.08,case
Germany,2021-01-06,,estimate,0.98,0.99,0.04,0.93,0.96,0.97,0.99,1.01,1.06,case
Germany,2021-01-07,,estimate,0.97,0.97,0.04,0.92,0.95,0.96,0.98,0.99,1.03,case
Germany,2021-01-08,,estimate,0.95,0.96,0.03,0.91,0.93,0.95,0.96,0.98,1.01,case
Germany,2021-01-09,,estimate,0.94,0.94,0.03,0.89,0.92,0.93,0.95,0.96,0.99,case
Germany,2021-01-10,,estimate,0.93,0.92,0.03,0.87,0.91,0.92,0.93,0.94,0.97,case
Germany,2021-01-11,,estimate,0.91,0.91,0.03,0.85,0.89,0.91,0.92,0.93,0.96,case
Germany,2021-01-12,,estimate,0.9,0.9,0.04,0.83,0.88,0.89,0.91,0.92,0.95,case
Germany,2021-01-13,,estimate,0.89,0.89,0.04,0.82,0.86,0.88,0.9,0.92,0.94,case
Germany,2021-01-14,,estimate,0.89,0.88,0.04,0.81,0.86,0.87,0.9,0.91,0.93,case
Germany,2021-01-15,,estimate,0.88,0.88,0.04,0.81,0.85,0.87,0.89,0.9,0.93,case
Germany,2021-01-16,,estimate,0.88,0.87,0.04,0.81,0.85,0.87,0.89,0.9,0.93,case
Germany,2021-01-17,,estimate,0.88,0.87,0.04,0.81,0.85,0.87,0.88,0.9,0.92,case
Germany,2021-01-18,,estimate,0.88,0.87,0.03,0.82,0.85,0.87,0.88,0.9,0.92,case
Germany,2021-01-19,,estimate,0.88,0.88,0.03,0.82,0.85,0.87,0.89,0.9,0.92,case
Germany,2021-01-20,,estimate,0.88,0.88,0.03,0.83,0.86,0.87,0.89,0.9,0.93,case
Germany,2021-01-21,,estimate,0.88,0.88,0.03,0.83,0.86,0.88,0.89,0.9,0.93,case
Germany,2021-01-22,,estimate,0.89,0.89,0.03,0.84,0.87,0.88,0.89,0.91,0.94,case
Germany,2021-01-23,,estimate,0.89,0.89,0.03,0.84,0.87,0.88,0.9,0.91,0.95,case
Germany,2021-01-24,,estimate,0.89,0.9,0.03,0.85,0.87,0.89,0.9,0.91,0.95,case
Germany,2021-01-25,,estimate,0.9,0.9,0.03,0.85,0.88,0.89,0.9,0.92,0.96,case
Germany,2021-01-26,,estimate,0.9,0.9,0.04,0.85,0.88,0.89,0.91,0.92,0.97,case
Germany,2021-01-27,,estimate,0.9,0.9,0.04,0.85,0.88,0.89,0.91,0.93,0.97,case
Germany,2021-01-28,,estimate,0.9,0.91,0.04,0.85,0.88,0.89,0.91,0.93,0.97,case
Germany,2021-01-29,,estimate based on partial data,0.91,0.91,0.04,0.84,0.88,0.9,0.92,0.93,0.98,case
Germany,2021-01-30,,estimate based on partial data,0.91,0.91,0.05,0.84,0.88,0.9,0.92,0.94,0.99,case
Germany,2021-01-31,,estimate based on partial data,0.91,0.91,0.05,0.83,0.87,0.89,0.92,0.94,1,case
Germany,2021-02-01,,estimate based on partial data,0.91,0.91,0.06,0.82,0.87,0.89,0.92,0.95,1.02,case
Germany,2021-02-02,,estimate based on partial data,0.91,0.91,0.07,0.8,0.86,0.89,0.92,0.95,1.04,case
Germany,2021-02-03,,estimate based on partial data,0.91,0.91,0.08,0.78,0.86,0.89,0.92,0.96,1.06,case
Germany,2021-02-04,,estimate based on partial data,0.91,0.91,0.1,0.76,0.85,0.89,0.92,0.96,1.08,case
Germany,2021-02-05,,estimate based on partial data,0.9,0.91,0.11,0.75,0.85,0.88,0.93,0.97,1.11,case
Germany,2021-02-06,,estimate based on partial data,0.9,0.91,0.13,0.73,0.84,0.88,0.93,0.98,1.14,case
Germany,2021-02-07,,estimate based on partial data,0.9,0.91,0.14,0.71,0.83,0.88,0.93,0.98,1.17,case
Germany,2021-02-08,,estimate based on partial data,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-09,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-10,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-11,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-12,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-13,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-14,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-15,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-16,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-17,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-18,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-19,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-20,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-21,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-22,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-23,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-24,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-25,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-26,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-27,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-02-28,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-03-01,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-03-02,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-03-03,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-03-04,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-03-05,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Germany,2021-03-06,,forecast,0.9,0.92,0.16,0.68,0.82,0.87,0.93,0.99,1.19,case
Poland,2020-11-16,,estimate,0.8,0.8,0.07,0.7,0.76,0.79,0.82,0.84,0.91,case
Poland,2020-11-17,,estimate,0.8,0.8,0.06,0.71,0.76,0.79,0.81,0.84,0.9,case
Poland,2020-11-18,,estimate,0.8,0.8,0.05,0.72,0.76,0.79,0.81,0.83,0.88,case
Poland,2020-11-19,,estimate,0.8,0.8,0.05,0.72,0.77,0.79,0.81,0.83,0.87,case
Poland,2020-11-20,,estimate,0.8,0.8,0.04,0.73,0.77,0.79,0.81,0.83,0.87,case
Poland,2020-11-21,,estimate,0.8,0.8,0.04,0.73,0.77,0.79,0.81,0.83,0.86,case
Poland,2020-11-22,,estimate,0.8,0.8,0.04,0.73,0.78,0.79,0.81,0.83,0.86,case
Poland,2020-11-23,,estimate,0.81,0.8,0.04,0.74,0.78,0.8,0.82,0.83,0.86,case
Poland,2020-11-24,,estimate,0.81,0.81,0.04,0.74,0.79,0.8,0.82,0.84,0.86,case
Poland,2020-11-25,,estimate,0.82,0.82,0.04,0.75,0.79,0.81,0.83,0.84,0.87,case
Poland,2020-11-26,,estimate,0.82,0.82,0.03,0.76,0.8,0.82,0.83,0.85,0.87,case
Poland,2020-11-27,,estimate,0.83,0.83,0.03,0.78,0.81,0.83,0.84,0.85,0.88,case
Poland,2020-11-28,,estimate,0.84,0.84,0.03,0.79,0.82,0.84,0.85,0.86,0.88,case
Poland,2020-11-29,,estimate,0.85,0.85,0.03,0.8,0.84,0.85,0.86,0.87,0.89,case
Poland,2020-11-30,,estimate,0.86,0.86,0.03,0.82,0.85,0.86,0.87,0.88,0.9,case
Poland,2020-12-01,,estimate,0.87,0.87,0.03,0.83,0.86,0.87,0.88,0.89,0.92,case
Poland,2020-12-02,,estimate,0.88,0.89,0.03,0.84,0.87,0.88,0.89,0.9,0.93,case
Poland,2020-12-03,,estimate,0.89,0.9,0.03,0.85,0.88,0.89,0.9,0.91,0.95,case
Poland,2020-12-04,,estimate,0.9,0.91,0.03,0.87,0.89,0.9,0.91,0.92,0.97,case
Poland,2020-12-05,,estimate,0.91,0.92,0.03,0.88,0.9,0.91,0.92,0.93,0.98,case
Poland,2020-12-06,,estimate,0.92,0.93,0.04,0.89,0.91,0.92,0.93,0.94,0.99,case
Poland,2020-12-07,,estimate,0.93,0.94,0.04,0.89,0.91,0.92,0.94,0.95,1,case
Poland,2020-12-08,,estimate,0.94,0.94,0.04,0.9,0.92,0.93,0.95,0.96,1.01,case
Poland,2020-12-09,,estimate,0.95,0.95,0.03,0.91,0.93,0.94,0.95,0.97,1.01,case
Poland,2020-12-10,,estimate,0.95,0.96,0.03,0.91,0.94,0.95,0.96,0.97,1.01,case
Poland,2020-12-11,,estimate,0.96,0.96,0.03,0.92,0.94,0.95,0.96,0.98,1.01,case
Poland,2020-12-12,,estimate,0.96,0.96,0.03,0.92,0.95,0.96,0.97,0.98,1.01,case
Poland,2020-12-13,,estimate,0.97,0.97,0.03,0.92,0.95,0.96,0.97,0.98,1.01,case
Poland,2020-12-14,,estimate,0.97,0.97,0.03,0.92,0.95,0.96,0.98,0.99,1.02,case
Poland,2020-12-15,,estimate,0.97,0.97,0.03,0.92,0.96,0.97,0.98,0.99,1.02,case
Poland,2020-12-16,,estimate,0.98,0.98,0.03,0.92,0.96,0.97,0.98,0.99,1.02,case
Poland,2020-12-17,,estimate,0.98,0.98,0.03,0.92,0.96,0.97,0.99,1,1.02,case
Poland,2020-12-18,,estimate,0.98,0.98,0.03,0.92,0.96,0.98,0.99,1,1.03,case
Poland,2020-12-19,,estimate,0.99,0.98,0.03,0.92,0.97,0.98,0.99,1,1.03,case
Poland,2020-12-20,,estimate,0.99,0.99,0.03,0.93,0.97,0.98,1,1.01,1.03,case
Poland,2020-12-21,,estimate,0.99,0.99,0.03,0.93,0.97,0.98,1,1.01,1.03,case
Poland,2020-12-22,,estimate,0.99,0.99,0.03,0.94,0.98,0.99,1,1.01,1.04,case
Poland,2020-12-23,,estimate,0.99,0.99,0.03,0.95,0.98,0.99,1,1.01,1.04,case
Poland,2020-12-24,,estimate,1,1,0.03,0.95,0.98,0.99,1,1.01,1.04,case
Poland,2020-12-25,,estimate,1,1,0.03,0.96,0.98,0.99,1,1.01,1.04,case
Poland,2020-12-26,,estimate,1,1,0.03,0.96,0.98,0.99,1,1.01,1.05,case
Poland,2020-12-27,,estimate,1,1,0.03,0.96,0.98,0.99,1,1.01,1.06,case
Poland,2020-12-28,,estimate,0.99,1,0.03,0.95,0.98,0.99,1,1.01,1.06,case
Poland,2020-12-29,,estimate,0.99,1,0.04,0.95,0.97,0.98,1,1.01,1.06,case
Poland,2020-12-30,,estimate,0.99,0.99,0.04,0.95,0.97,0.98,0.99,1.01,1.06,case
Poland,2020-12-31,,estimate,0.98,0.99,0.04,0.94,0.97,0.97,0.99,1,1.06,case
Poland,2021-01-01,,estimate,0.98,0.98,0.03,0.94,0.96,0.97,0.98,1,1.05,case
Poland,2021-01-02,,estimate,0.97,0.97,0.03,0.93,0.95,0.96,0.98,0.99,1.04,case
Poland,2021-01-03,,estimate,0.96,0.97,0.03,0.92,0.95,0.96,0.97,0.98,1.02,case
Poland,2021-01-04,,estimate,0.96,0.96,0.03,0.92,0.94,0.95,0.96,0.97,1.01,case
Poland,2021-01-05,,estimate,0.95,0.95,0.03,0.91,0.93,0.94,0.95,0.96,0.99,case
Poland,2021-01-06,,estimate,0.94,0.94,0.03,0.89,0.92,0.93,0.95,0.96,0.98,case
Poland,2021-01-07,,estimate,0.93,0.93,0.03,0.88,0.92,0.93,0.94,0.95,0.97,case
Poland,2021-01-08,,estimate,0.93,0.92,0.03,0.87,0.91,0.92,0.93,0.94,0.97,case
Poland,2021-01-09,,estimate,0.92,0.92,0.03,0.86,0.9,0.91,0.93,0.94,0.96,case
Poland,2021-01-10,,estimate,0.91,0.91,0.03,0.86,0.9,0.91,0.92,0.93,0.96,case
Poland,2021-01-11,,estimate,0.91,0.91,0.03,0.85,0.89,0.9,0.92,0.93,0.95,case
Poland,2021-01-12,,estimate,0.91,0.9,0.03,0.84,0.89,0.9,0.91,0.93,0.95,case
Poland,2021-01-13,,estimate,0.91,0.9,0.03,0.84,0.88,0.9,0.91,0.92,0.95,case
Poland,2021-01-14,,estimate,0.91,0.9,0.03,0.83,0.88,0.9,0.91,0.92,0.95,case
Poland,2021-01-15,,estimate,0.91,0.9,0.03,0.84,0.88,0.9,0.91,0.92,0.95,case
Poland,2021-01-16,,estimate,0.91,0.9,0.03,0.84,0.88,0.9,0.92,0.93,0.95,case
Poland,2021-01-17,,estimate,0.91,0.91,0.03,0.85,0.89,0.9,0.92,0.93,0.95,case
Poland,2021-01-18,,estimate,0.91,0.91,0.03,0.85,0.89,0.91,0.92,0.93,0.96,case
Poland,2021-01-19,,estimate,0.92,0.92,0.03,0.86,0.9,0.91,0.93,0.94,0.96,case
Poland,2021-01-20,,estimate,0.92,0.92,0.03,0.87,0.91,0.92,0.93,0.94,0.97,case
Poland,2021-01-21,,estimate,0.93,0.93,0.03,0.88,0.91,0.92,0.94,0.95,0.97,case
Poland,2021-01-22,,estimate,0.94,0.94,0.03,0.89,0.92,0.93,0.94,0.95,0.98,case
Poland,2021-01-23,,estimate,0.94,0.95,0.03,0.9,0.93,0.94,0.95,0.96,1,case
Poland,2021-01-24,,estimate,0.95,0.95,0.03,0.91,0.93,0.94,0.96,0.97,1.01,case
Poland,2021-01-25,,estimate,0.96,0.96,0.03,0.91,0.94,0.95,0.97,0.98,1.02,case
Poland,2021-01-26,,estimate,0.97,0.97,0.04,0.92,0.95,0.96,0.97,0.99,1.03,case
Poland,2021-01-27,,estimate,0.97,0.98,0.04,0.92,0.95,0.97,0.98,1,1.05,case
Poland,2021-01-28,,estimate,0.98,0.98,0.04,0.92,0.95,0.97,0.99,1.01,1.06,case
Poland,2021-01-29,,estimate based on partial data,0.99,0.99,0.05,0.92,0.96,0.98,1,1.02,1.08,case
Poland,2021-01-30,,estimate based on partial data,0.99,1,0.06,0.92,0.96,0.98,1.01,1.03,1.1,case
Poland,2021-01-31,,estimate based on partial data,1,1.01,0.06,0.91,0.96,0.98,1.01,1.04,1.12,case
Poland,2021-02-01,,estimate based on partial data,1,1.01,0.07,0.91,0.96,0.99,1.02,1.05,1.14,case
Poland,2021-02-02,,estimate based on partial data,1.01,1.02,0.08,0.91,0.96,0.99,1.03,1.06,1.16,case
Poland,2021-02-03,,estimate based on partial data,1.01,1.02,0.09,0.9,0.96,0.99,1.03,1.07,1.18,case
Poland,2021-02-04,,estimate based on partial data,1.01,1.03,0.1,0.89,0.96,0.99,1.04,1.08,1.21,case
Poland,2021-02-05,,estimate based on partial data,1.02,1.03,0.11,0.88,0.95,0.99,1.04,1.09,1.24,case
Poland,2021-02-06,,estimate based on partial data,1.02,1.04,0.13,0.87,0.95,0.99,1.05,1.1,1.26,case
Poland,2021-02-07,,estimate based on partial data,1.02,1.04,0.14,0.86,0.95,0.99,1.05,1.11,1.29,case
Poland,2021-02-08,,estimate based on partial data,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-09,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-10,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-11,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-12,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-13,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-14,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-15,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-16,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-17,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-18,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-19,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-20,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-21,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-22,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-23,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-24,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-25,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-26,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-27,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-02-28,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-03-01,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-03-02,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-03-03,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-03-04,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-03-05,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
Poland,2021-03-06,,forecast,1.02,1.04,0.15,0.85,0.95,0.99,1.06,1.12,1.32,case
