forecaster_id,location,location_name,inc,type,forecast_date,forecast_time,forecast_week,expert,leaderboard,name_board,median,width,distribution,horizon,target_end_date,zero_baseline
515822,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:07:49.806086Z,46,TRUE,yes,seabbs,168425,0.11,log-normal,2,2020-11-21T00:00:00Z,TRUE
515822,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:07:49.806086Z,46,TRUE,yes,seabbs,193201.726168405,0.18,log-normal,3,2020-11-28T00:00:00Z,TRUE
515822,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:07:49.806086Z,46,TRUE,yes,seabbs,194839,0.2,log-normal,4,2020-12-05T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:09:23.364602Z,46,TRUE,yes,seabbs,1110,0.15,log-normal,1,2020-11-14T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:09:23.364602Z,46,TRUE,yes,seabbs,1456,0.2,log-normal,2,2020-11-21T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:09:23.364602Z,46,TRUE,yes,seabbs,1813,0.25,log-normal,3,2020-11-28T00:00:00Z,TRUE
515822,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:09:23.364602Z,46,TRUE,yes,seabbs,2093,0.25,log-normal,4,2020-12-05T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:11:19.536375Z,46,TRUE,yes,seabbs,185882,0.1,log-normal,1,2020-11-14T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:11:19.536375Z,46,TRUE,yes,seabbs,222748,0.2,log-normal,2,2020-11-21T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:11:19.536375Z,46,TRUE,yes,seabbs,224580,0.2,log-normal,3,2020-11-28T00:00:00Z,TRUE
515822,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T10:11:19.536375Z,46,TRUE,yes,seabbs,198450,0.2,log-normal,4,2020-12-05T00:00:00Z,TRUE
515822,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:13:44.312975Z,46,TRUE,yes,seabbs,2655,0.1,log-normal,1,2020-11-14T00:00:00Z,FALSE
515822,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:13:44.312975Z,46,TRUE,yes,seabbs,3705,0.15,log-normal,2,2020-11-21T00:00:00Z,FALSE
515822,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:13:44.312975Z,46,TRUE,yes,seabbs,4146,0.2,log-normal,3,2020-11-28T00:00:00Z,FALSE
515822,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T10:13:44.312975Z,46,TRUE,yes,seabbs,4302,0.2,log-normal,4,2020-12-05T00:00:00Z,FALSE
228720,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:54:57.973815Z,46,TRUE,yes,kath,149203,0.17,log-normal,1,2020-11-14T00:00:00Z,FALSE
228720,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:54:57.973815Z,46,TRUE,yes,kath,158844,0.18,log-normal,2,2020-11-21T00:00:00Z,FALSE
228720,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:54:57.973815Z,46,TRUE,yes,kath,159441,0.19,log-normal,3,2020-11-28T00:00:00Z,FALSE
228720,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:54:57.973815Z,46,TRUE,yes,kath,160471,0.2,log-normal,4,2020-12-05T00:00:00Z,FALSE
228720,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:56:46.665499Z,46,TRUE,yes,kath,1040,0.18,log-normal,1,2020-11-14T00:00:00Z,FALSE
228720,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:56:46.665499Z,46,TRUE,yes,kath,1311,0.19,log-normal,2,2020-11-21T00:00:00Z,FALSE
228720,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:56:46.665499Z,46,TRUE,yes,kath,1502,0.2,log-normal,3,2020-11-28T00:00:00Z,FALSE
228720,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:56:46.665499Z,46,TRUE,yes,kath,1654,0.21,log-normal,4,2020-12-05T00:00:00Z,FALSE
228720,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:57:51.289960Z,46,TRUE,yes,kath,191426,0.18,log-normal,1,2020-11-14T00:00:00Z,FALSE
228720,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:57:51.289960Z,46,TRUE,yes,kath,229238,0.19,log-normal,2,2020-11-21T00:00:00Z,FALSE
228720,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:57:51.289960Z,46,TRUE,yes,kath,256292,0.2,log-normal,3,2020-11-28T00:00:00Z,FALSE
228720,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T16:57:51.289960Z,46,TRUE,yes,kath,273117,0.21,log-normal,4,2020-12-05T00:00:00Z,FALSE
228720,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:59:26.402692Z,46,TRUE,yes,kath,2783,0.16,log-normal,1,2020-11-14T00:00:00Z,FALSE
228720,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:59:26.402692Z,46,TRUE,yes,kath,3738,0.17,log-normal,2,2020-11-21T00:00:00Z,FALSE
228720,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:59:26.402692Z,46,TRUE,yes,kath,4579,0.18,log-normal,3,2020-11-28T00:00:00Z,FALSE
228720,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T16:59:26.402692Z,46,TRUE,yes,kath,5186,0.19,log-normal,4,2020-12-05T00:00:00Z,FALSE
215393,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:07:44.222393Z,46,TRUE,yes,seb,140000,0.15,log-normal,1,2020-11-14T00:00:00Z,FALSE
215393,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:07:44.222393Z,46,TRUE,yes,seb,120000,0.25,log-normal,2,2020-11-21T00:00:00Z,FALSE
215393,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:07:44.222393Z,46,TRUE,yes,seb,110000,0.3,log-normal,3,2020-11-28T00:00:00Z,FALSE
215393,GM,Germany,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:07:44.222393Z,46,TRUE,yes,seb,95000,0.4,log-normal,4,2020-12-05T00:00:00Z,FALSE
215393,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:08:48.217785Z,46,TRUE,yes,seb,1000,0.16,log-normal,1,2020-11-14T00:00:00Z,FALSE
215393,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:08:48.217785Z,46,TRUE,yes,seb,1300,0.25,log-normal,2,2020-11-21T00:00:00Z,FALSE
215393,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:08:48.217785Z,46,TRUE,yes,seb,1200,0.3,log-normal,3,2020-11-28T00:00:00Z,FALSE
215393,GM,Germany,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:08:48.217785Z,46,TRUE,yes,seb,900,0.4,log-normal,4,2020-12-05T00:00:00Z,FALSE
215393,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:09:58.561477Z,46,TRUE,yes,seb,180000,0.161914459929475,log-normal,1,2020-11-14T00:00:00Z,FALSE
215393,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:09:58.561477Z,46,TRUE,yes,seb,2e+05,0.25,log-normal,2,2020-11-21T00:00:00Z,FALSE
215393,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:09:58.561477Z,46,TRUE,yes,seb,230000,0.3,log-normal,3,2020-11-28T00:00:00Z,FALSE
215393,PL,Poland,incident,cases,2020-11-09T00:00:00Z,2020-11-09T20:09:58.561477Z,46,TRUE,yes,seb,240000,0.4,log-normal,4,2020-12-05T00:00:00Z,FALSE
215393,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:10:27.934003Z,46,TRUE,yes,seb,3000,0.15,log-normal,1,2020-11-14T00:00:00Z,FALSE
215393,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:10:27.934003Z,46,TRUE,yes,seb,5000,0.25,log-normal,2,2020-11-21T00:00:00Z,FALSE
215393,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:10:27.934003Z,46,TRUE,yes,seb,7000,0.3,log-normal,3,2020-11-28T00:00:00Z,FALSE
215393,PL,Poland,incident,deaths,2020-11-09T00:00:00Z,2020-11-09T20:10:27.934003Z,46,TRUE,yes,seb,10000,0.4,log-normal,4,2020-12-05T00:00:00Z,FALSE
