location,location_name,type,quantile,value,target_end_date,forecast_date,target,board_name,submission_date,horizon
GM,Germany,quantile,0.1,95140,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.15,98309,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.2,102608,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.25,107085,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.3,112031,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.35,116521,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.4,121441,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.45,126434,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.5,132674,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.55,140140,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.6,147841,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.65,155282,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.7,162100,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.75,171773,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.8,180500,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.85,190588,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.9,206465,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.95,219448,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.975,227098,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.99,231651,2020-10-31,2020-10-12,3 wk ahead inc case,EpiNow2,2020-10-12,3
GM,Germany,quantile,0.01,139268,2020-11-07,2020-10-12,4 wk ahead inc case,EpiNow2,2020-10-12,4
