target,target_end_date,location,type,quantile,value,location_name,forecast_date,target_type,board_name,submission_date,horizon
3 wk ahead inc case,2020-10-31,GM,quantile,0.05,23532.2958933068,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.1,25305.8142931027,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.15,26745.9281680889,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.2,28355.6382513124,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.25,29813.6199836786,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.3,31186.7120036353,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.35,32515.4747011698,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.4,33828.6517949729,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.45,35149.6217274104,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.5,36500,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.55,37902.2571091023,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.6,39382.2966423385,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.65,40918.4397499208,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.7,41897.4270846754,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.75,42980.2019251388,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.8,44218.8841695489,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.85,45707.8478254365,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.9,47652.7384208319,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.95,50688.6210422241,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.975,53477.9922341287,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc case,2020-10-31,GM,quantile,0.99,56914.8032792424,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
4 wk ahead inc case,2020-11-07,GM,quantile,0.01,19982.1897004239,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.025,22661.6732666913,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.05,25304.0312336057,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.1,28735.1020056956,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.15,31309.1630356853,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.2,33518.4173036122,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.25,35537.5924056009,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.3,37454.3294836951,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.35,39322.6357570372,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.4,40748.2053181192,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.45,41642.3790554674,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.5,42541.5312635742,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.55,43460.0981812072,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.6,44413.781370757,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.65,45421.4874198396,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.7,46508.2116737825,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.75,47710.1451809056,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.8,49085.1436003348,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.85,50737.966737723,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.9,52896.8912776522,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.95,56266.8708061591,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.975,59363.2104827618,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc case,2020-11-07,GM,quantile,0.99,63178.2403471471,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
1 wk ahead inc death,2020-10-17,GM,quantile,0.01,59.6149961519172,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.025,62.0666857446857,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.05,64.2557698521147,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.1,66.8756382866423,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.15,68.7033354509261,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.2,70.1914905298388,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.25,71.4938583874861,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.3,72.6840063721331,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.35,74.5113063682232,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.4,77.3161932109205,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.45,79.0009991605053,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.5,80,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.55,81.0116336250027,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.6,82.6605622261458,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.65,85.7722178217717,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.7,89.1782847473356,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.75,93.0058646491526,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.8,96.4374335934376,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.85,99.2970899432631,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.9,103.015966555915,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.95,108.785635661209,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.975,114.05101567006,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc death,2020-10-17,GM,quantile,0.99,120.494419131462,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
2 wk ahead inc death,2020-10-24,GM,quantile,0.01,61.9376583396542,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.025,64.4848683061669,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.05,66.7592414047944,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.1,69.4811826354725,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.15,71.3800887801829,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.2,72.9262239271052,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.25,74.8328888580131,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.3,77.9379148492746,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.35,79.249583072418,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.4,80.5146338951293,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.45,83.0266897313073,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.5,86,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.55,89.0797889682834,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.6,92.3221863824485,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.65,95.7975419827579,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.7,99.6017206268942,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.75,103.876679997755,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.8,108.853314965478,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.85,114.955907903906,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.9,123.122738844143,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.95,136.306538890024,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.975,147.992705131321,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
2 wk ahead inc death,2020-10-24,GM,quantile,0.99,159.244341365817,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,2
3 wk ahead inc death,2020-10-31,GM,quantile,0.01,59.6149961519172,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.025,62.0666857446857,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.05,64.2557698521147,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.1,66.8756382866423,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.15,71.8109852184305,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.2,76.1329465377703,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.25,80.0475276274112,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.3,83.1918672311752,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.35,84.94564661529,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.4,86.6439857194379,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.45,89.5593101547719,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.5,93,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.55,96.5728742779867,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.6,100.343933910616,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.65,104.396446036751,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.7,108.844433475524,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.75,113.857357873962,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.8,119.711641470207,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.85,126.91651524175,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.9,136.601094946269,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.95,152.330968987935,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.975,167.433907032474,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
3 wk ahead inc death,2020-10-31,GM,quantile,0.99,186.886943791009,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,3
4 wk ahead inc death,2020-11-07,GM,quantile,0.01,61.9376583396542,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.025,64.4848683061669,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.05,66.7592414047944,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.1,70.5752392989978,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.15,76.147024121729,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.2,80.8873760292056,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.25,85.0245498396692,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.3,87.3528880658815,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.35,89.5673187646331,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.4,91.7204819819499,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.45,93.8529456224573,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.5,97,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.55,100.980013336049,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.6,105.191452973802,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.65,109.728982231658,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.7,114.722841158425,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.75,120.367275597255,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.8,126.980022793472,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.85,135.147890381585,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.9,146.175430546806,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.95,164.19654233079,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.975,181.616887294984,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
4 wk ahead inc death,2020-11-07,GM,quantile,0.99,204.208656725023,Germany,2020-10-12,,EpiExpert-ensemble,2020-10-12,4
1 wk ahead inc case,2020-10-17,PL,quantile,0.01,18838.9739583173,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.025,20271.2694341114,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.05,21362.0120093972,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.1,22395.1288427479,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.15,23120.2495104842,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.2,23713.2607265239,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.25,24234.1188201088,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.3,24711.6084189195,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.35,25162.4679117236,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.4,25597.8932441435,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.45,26026.34258016,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.5,26455,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.55,27110.8668565873,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.6,27812.11702056,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
1 wk ahead inc case,2020-10-17,PL,quantile,0.65,28555.9826036475,Poland,2020-10-12,,EpiExpert-ensemble,2020-10-12,1
